Time,Susceptible,Infected
28.040000,177379781.574689,62620218.425311
28.080000,176855857.529373,63144142.470627
28.120000,176329500.440707,63670499.559294
28.160000,175800731.481512,64199268.518489
28.200000,175269572.367967,64730427.632033
28.240000,174736045.358736,65263954.641265
28.280000,174200173.253851,65799826.746149
28.320000,173661979.393377,66338020.606623
28.360000,173121487.655823,66878512.344178
28.400000,172578722.456320,67421277.543681
28.440000,172033708.744557,67966291.255443
28.480000,171486472.002475,68513527.997525
28.520000,170937038.241710,69062961.758290
28.560000,170385434.000796,69614565.999205
28.600000,169831686.342116,70168313.657884
28.640000,169275822.848609,70724177.151391
28.680000,168717871.620223,71282128.379777
28.720000,168157861.270120,71842138.729881
28.760000,167595820.920630,72404179.079371
28.800000,167031780.198957,72968219.801044
28.840000,166465769.232629,73534230.767371
28.880000,165897818.644704,74102181.355297
28.920000,165327959.548716,74672040.451284
28.960000,164756223.543387,75243776.456614
29.000000,164182642.707068,75817357.292932
29.040000,163607249.591957,76392750.408044
29.080000,163030077.218046,76969922.781954
29.120000,162451159.066843,77548840.933157
29.160000,161870529.074836,78129470.925164
29.200000,161288221.626722,78711778.373279
29.240000,160704271.548390,79295728.451611
29.280000,160118714.099675,79881285.900325
29.320000,159531584.966871,80468415.033130
29.360000,158942920.255005,81057079.744996
29.400000,158352756.479895,81647243.520106
29.440000,157761130.559970,82238869.440031
29.480000,157168079.807870,82831920.192131
29.520000,156573641.921825,83426358.078175
29.560000,155977854.976822,84022145.023178
29.600000,155380757.415549,84619242.584451
29.640000,154782388.039142,85217611.960859
29.680000,154182785.997719,85817214.002281
29.720000,153581990.780721,86418009.219279
29.760000,152980042.207052,87019957.792948
29.800000,152376980.415032,87623019.584968
29.840000,151772845.852163,88227154.147837
29.880000,151167679.264719,88832320.735282
29.920000,150561521.687152,89438478.312848
29.960000,149954414.431343,90045585.568657
