Time,Susceptible,Infected,Recovered
51.950000,7880.879259,16394.142248,65724.978493
52.000000,7859.409466,16341.955861,65798.634673
52.050000,7838.066266,16289.877477,65872.056258
52.100000,7816.848803,16237.907464,65945.243733
52.150000,7795.756228,16186.046184,66018.197588
52.200000,7774.787699,16134.293988,66090.918312
52.250000,7753.942380,16082.651222,66163.406398
52.300000,7733.219440,16031.118222,66235.662338
52.350000,7712.618055,15979.695318,66307.686627
52.400000,7692.137406,15928.382833,66379.479761
52.450000,7671.776682,15877.181080,66451.042239
52.500000,7651.535076,15826.090367,66522.374558
52.550000,7631.411787,15775.110994,66593.477219
52.600000,7611.406023,15724.243253,66664.350724
52.650000,7591.516992,15673.487432,66734.995576
52.700000,7571.743914,15622.843807,66805.412279
52.750000,7552.086010,15572.312651,66875.601339
52.800000,7532.542509,15521.894228,66945.563262
52.850000,7513.112646,15471.588797,67015.298557
52.900000,7493.795661,15421.396608,67084.807731
52.950000,7474.590797,15371.317906,67154.091296
53.000000,7455.497308,15321.352929,67223.149763
53.050000,7436.514449,15271.501908,67291.983644
53.100000,7417.641481,15221.765067,67360.593451
53.150000,7398.877673,15172.142626,67428.979701
53.200000,7380.222297,15122.634796,67497.142907
53.250000,7361.674631,15073.241782,67565.083586
53.300000,7343.233959,15023.963786,67632.802255
53.350000,7324.899568,14974.800999,67700.299433
53.400000,7306.670753,14925.753609,67767.575638
53.450000,7288.546813,14876.821798,67834.631389
53.500000,7270.527051,14828.005741,67901.467207
53.550000,7252.610778,14779.305608,67968.083614
53.600000,7234.797307,14730.721561,68034.481132
53.650000,7217.085957,14682.253760,68100.660283
53.700000,7199.476053,14633.902357,68166.621590
53.750000,7181.966924,14585.667497,68232.365579
53.800000,7164.557905,14537.549322,68297.892773
53.850000,7147.248333,14489.547969,68363.203698
53.900000,7130.037554,14441.663566,68428.298880
53.950000,7112.924916,14393.896238,68493.178846
54.000000,7095.909772,14346.246106,68557.844122
54.050000,7078.991480,14298.713283,68622.295237
54.100000,7062.169404,14251.297879,68686.532718
54.150000,7045.442910,14203.999996,68750.557094
54.200000,7028.811371,14156.819734,68814.368894
54.250000,7012.274165,14109.757187,68877.968648
54.300000,6995.830671,14062.812444,68941.356885
54.350000,6979.480276,14015.985587,69004.534137
54.400000,6963.222370,13969.276697,69067.500933
54.450000,6947.056348,13922.685848,69130.257804
54.500000,6930.981609,13876.213108,69192.805283
54.550000,6914.997557,13829.858543,69255.143899
54.600000,6899.103600,13783.622213,69317.274187
54.650000,6883.299150,13737.504174,69379.196677
54.700000,6867.583623,13691.504476,69440.911902
54.750000,6851.956440,13645.623165,69502.420395
54.800000,6836.417027,13599.860286,69563.722688
54.850000,6820.964812,13554.215874,69624.819315
54.900000,6805.599228,13508.689963,69685.710809
54.950000,6790.319715,13463.282583,69746.397702
55.000000,6775.125712,13417.993758,69806.880530
55.050000,6760.016666,13372.823510,69867.159824
55.100000,6744.992026,13327.771855,69927.236119
55.150000,6730.051246,13282.838805,69987.109949
55.200000,6715.193784,13238.024370,70046.781846
55.250000,6700.419101,13193.328553,70106.252346
55.300000,6685.726663,13148.751356,70165.521981
55.350000,6671.115939,13104.292775,70224.591286
55.400000,6656.586402,13059.952803,70283.460794
55.450000,6642.137530,13015.731430,70342.131039
55.500000,6627.768804,12971.628641,70400.602555
55.550000,6613.479707,12927.644418,70458.875875
55.600000,6599.269729,12883.778738,70516.951532
55.650000,6585.138362,12840.031577,70574.830061
55.700000,6571.085100,12796.402905,70632.511994
55.750000,6557.109445,12752.892690,70689.997865
55.800000,6543.210898,12709.500896,70747.288206
55.850000,6529.388966,12666.227483,70804.383551
55.900000,6515.643160,12623.072409,70861.284431
55.950000,6501.972993,12580.035628,70917.991380
56.000000,6488.377982,12537.117089,70974.504929
56.050000,6474.857649,12494.316741,71030.825611
56.100000,6461.411516,12451.634527,71086.953957
56.150000,6448.039113,12409.070388,71142.890499
56.200000,6434.739970,12366.624262,71198.635767
56.250000,6421.513622,12324.296084,71254.190294
56.300000,6408.359605,12282.085786,71309.554609
56.350000,6395.277462,12239.993295,71364.729243
56.400000,6382.266736,12198.018539,71419.714725
56.450000,6369.326976,12156.161438,71474.511586
56.500000,6356.457731,12114.421914,71529.120355
56.550000,6343.658557,12072.799883,71583.541560
56.600000,6330.929011,12031.295260,71637.775730
56.650000,6318.268652,11989.907955,71691.823393
56.700000,6305.677046,11948.637877,71745.685077
56.750000,6293.153758,11907.484932,71799.361310
56.800000,6280.698359,11866.449024,71852.852617
56.850000,6268.310421,11825.530053,71906.159526
56.900000,6255.989520,11784.727917,71959.282563
56.950000,6243.735236,11744.042512,72012.222252
57.000000,6231.547150,11703.473729,72064.979120
57.050000,6219.424849,11663.021460,72117.553691
57.100000,6207.367919,11622.685593,72169.946488
57.150000,6195.375951,11582.466013,72222.158036
57.200000,6183.448540,11542.362604,72274.188856
57.250000,6171.585282,11502.375245,72326.039473
57.300000,6159.785777,11462.503816,72377.710408
57.350000,6148.049627,11422.748192,72429.202181
57.400000,6136.376438,11383.108247,72480.515315
57.450000,6124.765818,11343.583853,72531.650329
57.500000,6113.217377,11304.174880,72582.607743
57.550000,6101.730730,11264.881194,72633.388076
57.600000,6090.305493,11225.702661,72683.991846
57.650000,6078.941284,11186.639144,72734.419572
57.700000,6067.637726,11147.690503,72784.671771
57.750000,6056.394444,11108.856598,72834.748959
57.800000,6045.211063,11070.137285,72884.651652
57.850000,6034.087215,11031.532419,72934.380366
57.900000,6023.022532,10993.041853,72983.935615
57.950000,6012.016648,10954.665438,73033.317914
58.000000,6001.069201,10916.403024,73082.527775
58.050000,5990.179832,10878.254457,73131.565712
58.100000,5979.348182,10840.219582,73180.432236
58.150000,5968.573898,10802.298244,73229.127858
58.200000,5957.856627,10764.490283,73277.653090
58.250000,5947.196019,10726.795541,73326.008441
58.300000,5936.591726,10689.213854,73374.194419
58.350000,5926.043404,10651.745061,73422.211535
58.400000,5915.550711,10614.388995,73470.060294
58.450000,5905.113306,10577.145489,73517.741205
58.500000,5894.730851,10540.014376,73565.254772
58.550000,5884.403012,10502.995486,73612.601502
58.600000,5874.129455,10466.088646,73659.781900
